ACTIVER;LIAI;DESIGNATION;;SECT;TEINT;TEINT2;ISO;LONG;LONG CP;Long_Add;Long_Add2;COUPE;POS;POS-OUT;FA;APP;VOI;Ref Connecteur;Ref Connecteur_Four;Ref Clip;Ref Clip Four;PRECO;Ref Joint;Ref Joint Four;POS2;POS-OUT2;FA2;APP2;VOI2;Ref Connecteur2;Ref Connecteur_Four2;Ref Clip2;Ref Clip Four2;PRECO2;Ref Joint2;Ref Joint Four2;PRECOG;OPTION;CritŠres sp‚cifiques;Commentaires
0;3AGR;-CPTR PZS VL AIR;27;0.75;VE;;T6;965;1265;;;;;E13;18;120.AB;L4;8200679260;;;;;;;;H7;38;1750.AA;1;243427Y000;;;;;;;;ALL;;
0;3AGV;MSS CPTR AAC RANGEE A/B;28;0.5;VE;;A3Z;1805;2105;;;;;E13;18;120.AB;O3;8200679260;;;;;;;;H2;37;1735.AA;2;8200104795;;;;;;;;ALL;;
0;3AGW;MSS CPTR AAC RANGEE A/B;29;0.5;VE;;A3Z;1805;2105;;;;;E13;18;120.AB;M2;8200679260;;;;;;;;H2;37;1735.AA;1;8200104795;;;;;;;;ALL;;
0;3AHK;DIAG RL RCF ADT 1;30;0.5;VE;;A3Z;685;985;;;;;E13;18;120.AB;B2;8200679260;;;;;;;;K14;33;1550.AB;7;8200351176;;;;;;;;ALL;;
0;3AHL;DIAG RL RCF ADT 2;31;0.5;VE;;A3Z;685;985;;;;;E13;18;120.AB;C1;8200679260;;;;;;;;K14;33;1550.AB;3;8200351176;;;;;;;;ALL;;
0;3ALA;;134;0.5;VE;;A3Z;;;;;;;;;120.AC;E1;;;;;;;;;;;1989.AA;1;;;;;;;;;ALL;;
0;3ALB;;135;0.5;VE;;A3Z;;;;;;;;;120.AC;C4;;;;;;;;;;;1989.AA;3;;;;;;;;;ALL;;
0;3ALC;;136;0.5;VE;;A3Z;;;;;;;;;120.AC;J2;;;;;;;;;;;1989.AA;2;;;;;;;;;ALL;;
-1;;CDE E/VN WASTE GATE;;0.75;VE;;;2095;2395;;;;;E13;18;;;8200679260;;;;;;;;F16;31;;;7703297277;;;;;;;;ALL;;
-1;;INFO VITESSE INJECTION;;0.75;VE;;;1315;1715;;;;;E13;18;;;8200679260;;;;;;;;H6;32;;;8200104771;;;;;;;TOR01;ALL;;
-1;;- CAPTEUR VITESSE;;0.75;BA;;;1315;1715;;;;;E13;18;;;8200679260;;;;;;;;H6;32;;;8200104771;;;;;;;TOR01;ALL;;
-1;;+ SONDE TEMPERATURE EAU;;0.5;VE;;;1320;1620;;;;;I6;47;;;7703297252;;;;;;;;E13;18;;;8200679260;;;;;;;;ALL;;
0;3CX;CDE  EV RECYCLAGE GAZ;36;0.75;VE;;A3Z;1425;1725;;;;;E13;18;120.AB;L3;8200679260;;;;;;;;H5;24;1301.AA;1;7703297277;;;;;;;;ALL;;
-1;;CAPTEUR CYL N 1;;0.5;VE;;;1265;1665;;;;;E13;18;;;8200679260;;;;;;;;C9;58;;;243427Y003;;;;;;;;ALL;;
